thermalcut,wavelength[nm],Thermal_cut_L,Thermal_cut_M,Thermal_cut_S,NDfilter,wavelength[nm],absOD1,absOD2,refOD1
,2710.0461,1,0.488709106,0.010293794,,2710.0461,0.120850813,0.023833038,0.046705927
,2719.9876,1,0.577141608,0.006575769,,2719.9876,0.098516687,0.013230805,0.053873084
,2730.0249,1,0.612762807,0.004602685,,2730.0249,0.087918376,0.007804289,0.058684354
,2739.951,1,0.633991269,0.003807467,,2739.951,0.083133496,0.00511141,0.061648092
,2749.9727,1,0.630652892,0.003291865,,2749.9727,0.082371839,0.003732501,0.062455173
,2759.9865,1,0.619710799,0.003461772,,2759.9865,0.082573274,0.003495674,0.062399173
,2769.9925,1,0.613879056,0.003529971,,2769.9925,0.084259273,0.003456889,0.062700929
,2779.9904,1,0.605176639,0.003666757,,2779.9904,0.085349354,0.003685078,0.063077076
,2789.9804,1,0.594520226,0.003903678,,2789.9804,0.086320371,0.003865396,0.063313523
,2799.9624,1,0.575470978,0.003996679,,2799.9624,0.087280521,0.004058918,0.063489423
