wavelength[nm],transmittance
807.45,0.003036235
807.78,0.003044883
808.109,0.003078904
808.439,0.003130372
808.768,0.003152937
809.097,0.003061834
809.427,0.003082211
809.756,0.003124037
810.085,0.003128619
810.414,0.003064623
810.743,0.003105752
811.072,0.003091661
811.401,0.003151767
811.73,0.003048087
812.059,0.00312751
812.387,0.00303258
812.716,0.003021616
813.045,0.003097843
813.373,0.003078325
813.702,0.003083578
814.03,0.003135158
814.359,0.003161133
814.687,0.003029152
815.016,0.003099942
815.344,0.003130633
815.672,0.00309759
816,0.003150876
816.328,0.00313126
816.656,0.003139283
816.984,0.003108429
817.312,0.003038601
817.64,0.003084536
817.968,0.003101111
818.296,0.003049445
818.624,0.003154682
818.951,0.003126429
819.279,0.003077118
819.607,0.003091221
819.934,0.00317068
820.262,0.003092478
820.589,0.003151116
820.917,0.0031734
821.244,0.003218257
821.571,0.003148655
821.899,0.003124327
822.226,0.003177427
822.553,0.003183904
822.88,0.003100411
823.207,0.003150214
823.534,0.003162071
823.861,0.003228156
824.188,0.003229489
824.515,0.00314038
824.841,0.003156163
825.168,0.003150508
825.495,0.003169186
825.821,0.003104902
826.148,0.003200662
826.474,0.003135414
826.801,0.003174271
827.127,0.003138035
827.453,0.003260899
827.78,0.003157661
828.106,0.003221676
828.432,0.003179614
828.758,0.00319202
829.084,0.003204209
829.41,0.003185676
829.736,0.00328698
830.062,0.003202971
830.388,0.003221886
830.714,0.00318294
831.04,0.003189257
831.365,0.003240003
831.691,0.003282979
832.017,0.00324448
832.342,0.003221087
832.668,0.003226888
832.993,0.003223519
833.319,0.003138549
833.644,0.00317116
833.969,0.003302365
834.295,0.00315801
834.62,0.003226428
834.945,0.003176153
835.27,0.003204428
835.595,0.003205577
835.92,0.003192729
836.245,0.003289441
836.57,0.003171483
836.895,0.003240274
837.219,0.00322125
837.544,0.003178253
837.869,0.00324124
838.193,0.00323199
838.518,0.003217777
838.842,0.003282276
839.167,0.003191349
839.491,0.003344288
839.816,0.003270899
840.14,0.003216886
840.464,0.003220109
840.788,0.003294593
841.112,0.003215107
841.436,0.003336048
841.761,0.003382589
842.084,0.003224253
842.408,0.003183317
842.732,0.003252588
843.056,0.00328963
843.38,0.003209363
843.704,0.003273481
844.027,0.003321714
844.351,0.003272835
844.674,0.003293891
844.998,0.003294041
845.321,0.003238515
845.645,0.003284538
845.968,0.00335402
846.291,0.003254916
846.615,0.0032658
846.938,0.003297159
